split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5456152696372114,0.8899546454835853,1.0753427631551993,0.5163654662586286,0.9011258256358925,1.1111701021432658
1,0.5200868869118971,0.9035767080604065,1.0871212592016741,0.49179382860091214,0.9295071595612189,1.1390475724485756
2,0.5146463622514026,0.923298116885836,1.1119413176703508,0.4800686737350436,0.936853037777606,1.1521124982199633
3,0.5500623708703614,0.8672986055146297,1.0542534811760689,0.5111660684081671,0.8984769568565433,1.117127049145178
4,0.5307993908645379,0.8741551783186905,1.0659824259630803,0.493608819030381,0.915174030346534,1.137011775081306
5,0.5024972916528699,0.9234754398523786,1.118298046750834,0.46766744318659426,0.9466633685602374,1.1657714347639057
6,0.5827786225943479,0.830863613050225,1.0090297781965125,0.5365259325882425,0.8670076092618736,1.0877638336336295
7,0.54258718379417,0.8845831672729628,1.0689306649816295,0.4991310359106276,0.9178289722790762,1.1307952002836812
8,0.5230228985241485,0.8981146907047441,1.086468497638847,0.4860805964452609,0.9285719508483352,1.1454322407288962
9,0.5197688764735013,0.912743709839835,1.0921413323422753,0.4776376164216697,0.9305165054242234,1.1548028392327292
