split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5346345535980209,0.8654383468396121,1.0683454641563281,0.5059899946192358,0.8969372044085211,1.1267953554921424
1,0.5381514542768882,0.8748932648856436,1.0642255789081019,0.5213944087552327,0.9066999450627977,1.1090881361148586
2,0.5011935556488748,0.9066237485572366,1.1010761065537247,0.49378277103078283,0.9376502968343908,1.140632224381166
3,0.4845304135336669,0.9423932835612829,1.141091378770188,0.45636479700855437,0.9757691174461789,1.1820367021017473
4,0.47001084001608917,0.9405985476468965,1.1420362015612762,0.4603242776721188,0.9721065840660744,1.1777242471843232
5,0.4954640650583695,0.9246204073991429,1.1176013186686304,0.4810250803431996,0.946560480571242,1.1549159012807941
6,0.49622173614264364,0.9248709685558314,1.119217545698422,0.48332357119264735,0.9510027032397507,1.1523555565897985
7,0.5203046729437749,0.8870874008201913,1.079478211243663,0.4975759458681539,0.9183264273784427,1.1363507097073027
8,0.5134071244812646,0.8984597133672692,1.095707624742335,0.49080195360923873,0.9252524984641718,1.1439855534626298
9,0.5427581523668575,0.8813379516285798,1.0706939063065,0.5275392597120367,0.9000170701603537,1.101945304801133
