split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5446050337140197,0.8884986949056122,1.0689072015775194,0.5045332956993962,0.885003665086484,1.0833155479134902
1,0.5090803101373645,0.9238482210098992,1.1196979666057496,0.48290358445468573,0.9020336344790973,1.106709154698335
2,0.5106106699231316,0.9273096075426953,1.1180060224518407,0.4805351824946209,0.9055934683367668,1.109240730612148
3,0.5286259367960948,0.8931300808187784,1.0864700495244637,0.5084846211876306,0.8711418224669438,1.0789872037838397
4,0.5268613749902606,0.8915833133270616,1.0763885278291054,0.5001277601853087,0.8780163256917541,1.0881211412045702
5,0.4885556543098363,0.9444935605366747,1.1392433717429142,0.4612336646923967,0.9169047099417069,1.1296605545706069
6,0.5401266723658107,0.8870201420451354,1.067130035194205,0.5121962217860868,0.8745820641743776,1.0749055831968346
7,0.5168900902497686,0.9195303425784461,1.1066167267861806,0.4850433253790971,0.9053555240647675,1.104417004100448
8,0.4500834730226534,0.971901604674857,1.1683550365508286,0.4265753060120556,0.9531730607053149,1.1654293055623746
9,0.5576795001261148,0.8564033587329298,1.0375755506377933,0.5362247401276319,0.8492040036058234,1.0480971197654427
