split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5144851168327758,0.885363479019249,1.0784072356491976,0.4785282649801139,0.9155080195904518,1.1384973815418815
1,0.5108958446914392,0.8891969757831827,1.0929039256764965,0.4792622248032872,0.9149429355662138,1.1376958946022468
2,0.558779445003057,0.8554003422190494,1.0307936318483375,0.5244718828272791,0.8832672450790553,1.0871882495762808
3,0.5330976612993832,0.8769216487322242,1.0808503982334003,0.48792942185007715,0.9118825263520067,1.1281882207819534
4,0.49570334223123824,0.9247622501982222,1.1240193283296311,0.44244257701701784,0.9566501719621144,1.1772303508180733
5,0.49270849589104704,0.9294057324506864,1.122088146860944,0.4351650816918,0.9716698510417783,1.1848883183660566
6,0.4828673818577274,0.9352451118224634,1.1306933158069519,0.4471210475739926,0.9627269876681783,1.1722808696536742
7,0.5285918158944243,0.8913363595446752,1.0786765407265513,0.4979150236945511,0.9150025794495883,1.1171339811906469
8,0.5360000775029845,0.860863490077503,1.0746413435788316,0.5029264785079228,0.8816387660249475,1.1115447812882597
9,0.5242554328571154,0.8987467772751552,1.0884129432110106,0.48362525553456925,0.9310261618277184,1.1329197447349602
