split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.4925208258274152,0.9369037714418519,1.134663945666354,0.44020714490682145,0.9483588340905111,1.1548834158758636
1,0.506662743838268,0.9116175041290362,1.1091939097527348,0.46631617161504035,0.921952019923491,1.127629660908185
2,0.5147427346501805,0.8882845930284043,1.0846818298392318,0.4848567335697209,0.9007014050727126,1.1078691858179295
3,0.520922342074781,0.9152608512801398,1.107519914563399,0.4672467172945184,0.9221653685621621,1.126646149085117
4,0.5237853333044442,0.9147438623147366,1.0994921299545561,0.47246033732889514,0.9149771224187088,1.1211198138654257
5,0.4762861605077233,0.9517254121832046,1.1472137965650717,0.4246652689403527,0.9602499739348805,1.1708055305963836
6,0.5399103244720966,0.8700863862177264,1.0710690936865688,0.5016055702183644,0.8806543667270674,1.0897103086197
7,0.5198187875594114,0.9139834244232676,1.1052349979385354,0.4696228977900282,0.916054976278947,1.1241308136784878
8,0.49504516229433915,0.9258279189998734,1.1245141253908872,0.4418186985914787,0.9341768300856159,1.1532198558361573
9,0.5142445338929417,0.9029943403775282,1.0936286519550338,0.4627990091762443,0.9227318445515078,1.1313392952435637
