split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5183849687827653,0.9084709648822927,1.0945609721311684,0.4531473794848335,0.9347558776408639,1.1725624993808152
1,0.5030014889983321,0.9385274822825371,1.123612890739367,0.4475136425923282,0.9576449229101925,1.1785869580193846
2,0.522883681267619,0.9147338272636991,1.0993831852616178,0.4603520596291679,0.9440545187639039,1.1648127444615843
3,0.517119851784047,0.9053096557638847,1.0962386711580765,0.46213162852618195,0.9401621726482445,1.1628905873536632
4,0.48945599942722884,0.9429571929255853,1.1287491437752175,0.42264281155207384,0.9749719479959125,1.204822697293706
5,0.5162878008422361,0.9138974532249293,1.1045503282653333,0.4650351922048196,0.9388652778144564,1.1597475357717206
6,0.5175354833352133,0.9020642743880269,1.0980624874183578,0.444072462326877,0.9421325344822777,1.1822516950797646
7,0.5828950477366577,0.834751723376604,1.012541169601523,0.5007807402263008,0.8820155288270529,1.120331424420273
8,0.5172017990101838,0.9246686896652856,1.1126516464795828,0.4546450403484241,0.9403716124538551,1.1709557547994927
9,0.5602338994436136,0.860114008191088,1.0501593591374883,0.500929195906813,0.902930927837713,1.1201648323593265
