split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5089767553448254,0.9141397760538789,1.099216921039918,0.45862294307656437,0.9766982862659479,1.188273117975896
1,0.5434970753457704,0.8706133610978415,1.0554233290953594,0.508789918997329,0.9245519378002427,1.1318789531726339
2,0.5564642618805711,0.851763332685478,1.0483462315656242,0.5004802050414707,0.9083401960068188,1.1414126999986953
3,0.5125120885899827,0.9150844726009604,1.1037409186373937,0.4637938308715033,0.9687848871457729,1.182584689473298
4,0.5319325542033323,0.8907772302834089,1.0842001951403293,0.47799695707439216,0.9464342049256167,1.1668173176808345
5,0.5337390098334401,0.8944424761214924,1.0811832238992118,0.4794659988173062,0.9507407182957397,1.1651743090397129
6,0.5237479913380975,0.8922386071790884,1.082263076467338,0.48786105824363657,0.9449947177784886,1.1557402777034904
7,0.5380081701914129,0.8846102917001356,1.0775467198223008,0.498908886107737,0.9302781932371712,1.143206537966288
8,0.5547653270020911,0.8614313048257088,1.0547768584284958,0.5103499510367593,0.9166659076135133,1.1300801590272282
9,0.5557728266809858,0.8626955645213811,1.048068185468616,0.508327313555969,0.9232110155667989,1.1324118108648058
